instance,size,method,best_known,root_lower_bound,gap_percent,time_seconds,iterations,cuts,combformer_cut_percent
random_n50_0,50,CVRPSEP,8.763,8.544,2.502,1.124,7,13,
random_n50_1,50,CVRPSEP,10.014,9.953,0.618,0.638,11,23,
random_n50_2,50,CVRPSEP,8.379,8.319,0.713,0.461,7,14,
random_n50_3,50,CVRPSEP,9.373,9.109,2.823,0.604,15,29,
random_n50_4,50,CVRPSEP,9.961,9.742,2.196,0.565,8,21,
random_n50_5,50,CVRPSEP,8.378,8.282,1.145,0.481,8,11,
random_n50_6,50,CVRPSEP,9.940,9.742,1.985,0.580,5,5,
random_n50_7,50,CVRPSEP,7.915,7.759,1.976,0.472,9,7,
random_n50_8,50,CVRPSEP,9.201,9.010,2.070,0.868,19,26,
random_n50_9,50,CVRPSEP,10.533,10.364,1.608,0.651,9,19,
random_n100_0,100,CVRPSEP,18.171,17.143,5.660,12.391,21,51,
random_n100_1,100,CVRPSEP,13.468,12.749,5.338,9.996,21,74,
random_n100_2,100,CVRPSEP,15.204,14.284,6.052,6.925,16,47,
random_n100_3,100,CVRPSEP,15.063,14.404,4.374,9.443,17,14,
random_n100_4,100,CVRPSEP,16.335,15.544,4.841,11.216,20,45,
random_n100_5,100,CVRPSEP,17.098,16.356,4.343,11.672,19,116,
random_n100_6,100,CVRPSEP,16.451,15.547,5.494,15.286,35,68,
random_n100_7,100,CVRPSEP,16.996,16.259,4.336,11.112,22,82,
random_n100_8,100,CVRPSEP,13.225,12.668,4.211,7.231,20,117,
random_n100_9,100,CVRPSEP,12.604,12.087,4.103,7.926,14,49,
random_n200_0,200,CVRPSEP,29.900,27.781,7.086,369.035,63,111,
random_n200_1,200,CVRPSEP,24.719,23.024,6.857,407.329,60,147,
random_n200_2,200,CVRPSEP,30.969,28.659,7.461,460.418,42,120,
random_n200_3,200,CVRPSEP,27.026,25.051,7.307,447.811,64,108,
random_n200_4,200,CVRPSEP,29.146,26.828,7.952,646.379,56,99,
random_n200_5,200,CVRPSEP,26.028,24.013,7.742,320.634,61,97,
random_n200_6,200,CVRPSEP,27.079,25.335,6.443,307.243,40,93,
random_n200_7,200,CVRPSEP,32.821,30.530,6.979,399.356,40,176,
random_n200_8,200,CVRPSEP,25.719,23.720,7.773,333.916,65,116,
random_n200_9,200,CVRPSEP,29.710,27.567,7.214,389.251,56,208,
random_n300_0,300,CVRPSEP,37.806,33.203,12.174,1407.882,40,2707,
random_n300_1,300,CVRPSEP,36.801,32.112,12.743,1600.823,40,2902,
random_n300_2,300,CVRPSEP,33.280,30.051,9.703,1781.909,40,2195,
random_n300_3,300,CVRPSEP,39.352,34.146,13.229,1702.267,40,2231,
random_n300_4,300,CVRPSEP,32.455,29.963,7.678,2915.662,143,4643,
random_n300_5,300,CVRPSEP,41.980,36.606,12.802,1833.626,39,2332,
random_n300_6,300,CVRPSEP,31.730,29.013,8.562,1470.979,40,894,
random_n300_7,300,CVRPSEP,44.472,38.727,12.919,1488.795,40,2300,
random_n300_8,300,CVRPSEP,31.665,28.401,10.309,1934.215,40,2238,
random_n300_9,300,CVRPSEP,35.455,31.822,10.249,2434.029,70,4200,
random_n400_0,400,CVRPSEP,52.383,41.071,21.595,877.742,19,1355,
random_n400_1,400,CVRPSEP,40.003,33.611,15.980,1366.133,19,1506,
random_n400_2,400,CVRPSEP,54.356,40.491,25.507,290.319,19,1039,
random_n400_3,400,CVRPSEP,59.843,45.924,23.259,397.523,19,1526,
random_n400_4,400,CVRPSEP,45.250,36.349,19.669,717.173,19,1340,
random_n400_5,400,CVRPSEP,49.547,39.029,21.228,690.240,19,1194,
random_n400_6,400,CVRPSEP,65.010,48.661,25.148,259.925,19,876,
random_n400_7,400,CVRPSEP,59.862,45.743,23.586,445.663,19,1420,
random_n400_8,400,CVRPSEP,43.522,35.495,18.443,574.067,19,1265,
random_n400_9,400,CVRPSEP,40.116,33.559,16.345,822.647,19,1792,
random_n500_0,500,CVRPSEP,59.594,43.532,26.951,619.484,19,1334,
random_n500_1,500,CVRPSEP,64.499,45.215,29.899,463.556,19,1497,
random_n500_2,500,CVRPSEP,70.217,49.324,29.755,416.551,19,1068,
random_n500_3,500,CVRPSEP,79.740,58.236,26.967,416.060,19,1185,
random_n500_4,500,CVRPSEP,60.374,44.967,25.520,629.173,19,1383,
random_n500_5,500,CVRPSEP,57.346,42.469,25.943,741.244,19,1738,
random_n500_6,500,CVRPSEP,74.685,54.015,27.677,404.273,19,1207,
random_n500_7,500,CVRPSEP,62.643,46.414,25.907,591.680,19,1176,
random_n500_8,500,CVRPSEP,68.466,50.782,25.830,650.908,19,1484,
random_n500_9,500,CVRPSEP,77.768,57.209,26.436,465.856,19,1260,
random_n750_0,750,CVRPSEP,73.568,52.980,27.985,566.966,9,602,
random_n750_1,750,CVRPSEP,73.775,50.680,31.304,630.580,9,761,
random_n750_2,750,CVRPSEP,91.964,58.167,36.750,1091.803,9,735,
random_n750_3,750,CVRPSEP,72.794,51.225,29.630,1077.647,9,781,
