instance,size,method,best_known,root_lower_bound,gap_percent,time_seconds,iterations,cuts,combformer_cut_percent
random_n50_0,50,CVRPSEP,8.763,8.543,2.509,0.652,5,10,
random_n50_1,50,CVRPSEP,10.014,9.955,0.591,0.167,11,25,
random_n50_2,50,CVRPSEP,8.379,8.319,0.713,0.088,6,12,
random_n50_3,50,CVRPSEP,9.373,9.094,2.987,0.144,8,22,
random_n50_4,50,CVRPSEP,9.961,9.741,2.208,0.131,7,15,
random_n50_5,50,CVRPSEP,8.378,8.281,1.149,0.143,10,12,
random_n50_6,50,CVRPSEP,9.940,9.744,1.964,0.130,8,5,
random_n50_7,50,CVRPSEP,7.915,7.759,1.968,0.145,12,7,
random_n50_8,50,CVRPSEP,9.201,9.001,2.177,0.215,13,18,
random_n50_9,50,CVRPSEP,10.533,10.363,1.615,0.122,6,16,
random_n100_0,100,CVRPSEP,18.171,17.150,5.618,5.274,35,48,
random_n100_1,100,CVRPSEP,13.468,12.751,5.321,3.107,26,74,
random_n100_2,100,CVRPSEP,15.204,14.287,6.036,1.683,13,45,
random_n100_3,100,CVRPSEP,15.063,14.392,4.454,1.197,8,9,
random_n100_4,100,CVRPSEP,16.335,15.549,4.811,4.234,26,51,
random_n100_5,100,CVRPSEP,17.098,16.354,4.355,3.264,20,84,
random_n100_6,100,CVRPSEP,16.451,15.535,5.570,2.749,16,43,
random_n100_7,100,CVRPSEP,16.996,16.272,4.261,4.510,36,78,
random_n100_8,100,CVRPSEP,13.225,12.667,4.215,2.979,25,136,
random_n100_9,100,CVRPSEP,12.604,12.090,4.073,2.486,15,39,
random_n200_0,200,CVRPSEP,29.900,27.776,7.104,232.331,84,110,
random_n200_1,200,CVRPSEP,24.719,23.029,6.839,165.638,71,146,
random_n200_2,200,CVRPSEP,30.969,28.665,7.442,245.288,67,115,
random_n200_3,200,CVRPSEP,27.026,25.050,7.312,153.173,63,137,
random_n200_4,200,CVRPSEP,29.146,26.834,7.930,310.306,89,107,
random_n200_5,200,CVRPSEP,26.028,24.014,7.738,147.524,67,75,
random_n200_6,200,CVRPSEP,27.079,25.337,6.436,119.219,50,123,
